Feature ID	Taxon	Confidence
9d3ec96491b522546acbdfa3b21b6071	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Psychrobacter; s__	0.758203249242144
c9ffd432429a7600931358e3a09860f5	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Adhaeribacter; s__	0.9978249080833377
de391a8294254c47e8f460325eea85f8	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales	0.996560107213846
bae6b03d63955f134b6e523285263226	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__	0.9965909513624169
2ca928ad9749bb9726c35d6528fefec1	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium; s__adhaesivum	0.9565342536203953
ecf9eb9fa3970ff27a221e626395c75d	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria; g__Raphanus; s__sativus	0.9890818176084125
9acad60e1ad588fb9250aab68dee645d	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__	0.9999999876698525
e6df6369108817c93a749fa640528e92	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Adhaeribacter; s__	0.9999617363977346
9f718b8f66b79c3de80546ca9a54539c	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella; s__parvula	0.9530708632515028
bfdc8d2e7693336b4f3781920d3fa253	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria; g__Cucurbita; s__pepo	0.8882784874243087
500d6b485cef4c52aad211d6d6e6dbc7	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__	0.7269382393986819
7fa8f515ee1ac5cb8b529b13e6a89790	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Pasteurella; s__	0.8842483295152767
66a605fcdaa020dbdd6136f241ea79d9	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.9955207150623763
1a5ff65c7f309159df626f810d96ae8b	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cardiobacteriales; f__Cardiobacteriaceae; g__Cardiobacterium; s__	0.9998565170516046
54d098d009b89779530eaf43a1bb136a	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__; s__	0.9963052801135104
2c9e19a0423a00f8c17d8086a8ab39a5	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0.9092258500879713
72cbf125e17c4e14d748543564d3d4ec	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	0.9999872567964752
8021f872c32700d46738f3591cb4c58a	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.9742207350428476
9da7a39de7e82006cc9533681adf765a	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__	0.9999999329857894
5ce3a51e54f30fa53b1e56dc64d11340	k__Bacteria	0.9967566238788118
636c27859c1ac0a7994ca8ed145d03fe	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus; s__	0.9999996933885925
2fa276cce32e900f0f68d30e460b8f61	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	0.997456582933478
9b07cccc73bd232ffb6edb9427194c06	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__	0.974954293359752
6be3ad080a12e28c46c9ca4f94710ac7	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Leptotrichia; s__	0.9999999739706599
ff8c7f94f941a0c647120d4e142db316	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Dialister; s__	0.9995379301127265
fc15824cd9e9c29e1319d32843452b54	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__	0.945937693178871
e3d37109be4a17d8437f6fcb6072982d	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]; g__; s__	0.9870257361540435
694caec8dad781d338acf4a5b69c3058	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae	0.7219846508705062
7cdabbffaaa6cc6d9f478d91f312a8ee	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0.9902126407010036
f79e815e1e628908e4ab605022b0ac09	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]; g__; s__	0.9998735783325322
dbd1f3c3e0f401f60d44103595acdb69	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Wautersiella; s__	0.9999584628737983
3ef461f213bfc675ddf0b1bfeef2dc52	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales	0.9682286601235964
fba3d9b3872ff9021d66434323fb9565	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella; s__parvula	0.9657523337637891
3bb6760ebcd348e0c695a5fb5fccf994	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae	0.8460424432118235
e7c8b8c8fced8eead4b767bffe6dd544	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__	0.9999999970335267
fe98555e63f547c33b3987391cd34d5d	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.886566093558563
047b7fb62a5e9d2711e639ae1cb1519a	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella; s__dispar	0.9991624949357416
3b65e1db6742cc44493248fff266f564	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	0.8170169190485387
952fabf17975467e69af4ebb5efb0fb6	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__	0.9595470076412783
e737a3a864791ec52f1398d83786f4f2	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__; s__	0.9626262875578325
fe30ff0f71a38a39cf1717ec2be3a2fc	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Neisseria	0.9845117939656375
51ddb685cfb1775931489ebbd3eef6ca	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Paludibacter; s__	0.9997391492313452
4a146c717d33b2f2719e648bd7d22059	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Planctomycetales; f__Planctomycetaceae; g__Planctomyces; s__	0.9999986537672749
fc5b641a0b0408d99ddfb2a5ba64da59	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__; g__; s__	0.9999999972160936
ff3df50eea7490dd794148649c480fd3	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Oribacterium; s__	0.8087163319640855
3f61c9eee7bfb0326d3efb8da077b0da	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Arcanobacterium; s__	0.9985726939750561
816e266d71b9a9af9d3d74893dee443e	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__; s__	0.9984205280010686
28560cffcd31045fa07dd88557b43e05	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__perfringens	0.9999735380837321
95dff3e66b8bdf4d8e509ceae4373c69	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospira; s__	0.9999987900932511
fbf110ef5de76f86121c8504a0cb786e	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.9834237467228825
cbc2f795edfaebaf35d10b85062b426d	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__; s__	0.8796278065805153
1efd43e712291698f34853dac3b67f54	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Psychrobacter	0.9428979630861423
9cd758ad7582755a7f52f2b003787795	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter; s__	0.9853980799892658
0c4b17f88dae47697d3bceb3663f47ce	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__torques	0.9406845404063161
d329ff7ff76454d2282c9f01c2798588	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Brucellaceae; g__Ochrobactrum; s__	0.9565591865322431
